,cityName,countryCode,Latitude,Longitude,Temperature,Humidity,Cloudiness,WindSpeed,TimeStamp
1,Saldanha,za,-33.01,17.94,41.0,80.0,0.0,1.12,1507168800.0
2,Leh,in,34.17,77.58,11.07,66.0,0.0,2.15,1507171199.0
3,Pyt-Yakh,ru,60.75,72.86,23.85,86.0,88.0,2.93,1507171391.0
4,Ribeira Grande,pt,38.52,-28.7,72.67,100.0,92.0,16.58,1507171391.0
5,Souillac,mu,-20.52,57.52,71.6,78.0,75.0,18.34,1507168800.0
6,East London,za,-33.02,27.91,59.08,100.0,92.0,13.78,1507171392.0
7,Sioux Lookout,ca,50.1,-91.92,48.2,81.0,75.0,8.05,1507168800.0
8,Burns Lake,ca,54.23,-125.75,41.85,96.0,0.0,2.15,1507171393.0
9,Doka,sd,13.52,35.77,69.25,92.0,0.0,2.71,1507171393.0
10,Santa Cruz de El Seibo,do,18.77,-69.04,73.4,100.0,40.0,3.38,1507168800.0
11,Codrington,ag,-38.27,141.97,55.62,92.0,80.0,23.62,1507171394.0
12,Marquette,us,46.54,-87.4,46.4,75.0,1.0,4.7,1507169760.0
13,Te Anau,nz,-45.42,167.72,49.36,66.0,8.0,2.71,1507171395.0
14,Puerto Ayora,ec,-0.74,-90.35,69.25,100.0,92.0,14.45,1507171395.0
15,Jamestown,sh,-15.94,-5.72,67.45,100.0,0.0,25.08,1507171396.0
16,Berdigestyakh,ru,62.1,126.7,30.91,73.0,68.0,6.17,1507171398.0
17,Chimbarongo,cl,-34.7,-71.05,50.0,93.0,40.0,10.29,1507168800.0
18,Sao Gabriel,br,-30.34,-54.32,62.32,63.0,0.0,12.77,1507171103.0
19,Ourem,pt,39.64,-8.59,62.6,77.0,90.0,2.24,1507168800.0
20,Malanje,ao,-9.54,16.34,66.82,97.0,88.0,3.04,1507171401.0
21,Ponta do Sol,pt,32.67,-17.1,75.2,57.0,20.0,12.75,1507170600.0
22,Savonlinna,fi,61.87,28.92,44.6,93.0,75.0,4.7,1507170000.0
23,Albany,au,-35.02,117.89,60.93,74.0,0.0,10.65,1507171402.0
